agreement_type,agreement,signed,entered_into_force,eoi,PARTNER_COUNTRY_CODE,PARENT_COUNTRY_CODE
DTC,DTC CH CN,2013-09-25,2014-11-15,Uncertain,CHN,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,COL,CHE
DTC,DTC CH CO,2007-10-26,2011-09-11,Uncertain,COL,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,COK,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CRI,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HRV,CHE
DTC,DTC CH HR,1999-03-12,1999-12-20,Uncertain,HRV,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CUW,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYP,CHE
DTC,DTC CH CY,2014-07-27,2015-10-15,Uncertain,CYP,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CZE,CHE
DTC,DTC CH CZ,1995-12-04,1996-10-23,Uncertain,CZE,CHE
DTC,DTC CH CI,1987-11-23,1990-12-30,Uncertain,CIV,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DNK,CHE
DTC,DTC CH DK,1973-11-23,1974-10-15,Uncertain,DNK,CHE
DTC,DTC CH DM,1963-08-26,1963-08-26,Uncertain,DMA,CHE
DTC,DTC CH EC,1994-11-28,1995-12-22,Uncertain,ECU,CHE
DTC,DTC CH EG,1987-05-20,1988-07-14,Uncertain,EGY,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,EST,CHE
DTC,DTC CH EE,2002-06-11,2004-07-12,Uncertain,EST,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRO,CHE
DTC,DTC CH FO,1978-03-20,1978-03-20,Uncertain,FRO,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FIN,CHE
DTC,DTC CH FI,1991-12-16,1993-12-26,Uncertain,FIN,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRA,CHE
DTC,DTC CH FR,1966-09-09,1967-07-26,Uncertain,FRA,CHE
DTC,DTC CH GM,1963-08-26,1963-08-26,Uncertain,GMB,CHE
DTC,DTC CH GE,2010-06-15,2011-08-05,Uncertain,GEO,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DEU,CHE
DTC,DTC CH DE,1971-08-11,1972-12-29,Uncertain,DEU,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GHA,CHE
DTC,DTC CH GH,2008-07-23,2009-12-30,Uncertain,GHA,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GIB,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRC,CHE
DTC,DTC CH GR,1983-06-16,1985-02-21,Uncertain,GRC,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRL,CHE
TIEA,TIEA CH GL,2014-03-07,2015-07-22,On Request,GRL,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GRD,CHE
DTC,DTC CH GD,1963-08-26,1963-08-26,Uncertain,GRD,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GGY,CHE
TIEA,TIEA CH GG,2013-09-11,2014-11-03,On Request,GGY,CHE
DTC,DTC CH HK,2010-10-04,2012-01-01,Uncertain,HKG,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HUN,CHE
DTC,DTC CH HU,2013-09-12,2014-11-09,Uncertain,HUN,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ISL,CHE
DTC,DTC CH IS,2014-07-10,2015-11-06,Uncertain,ISL,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IND,CHE
DTC,DTC CH IN,1994-11-02,1994-12-29,Uncertain,IND,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,IDN,CHE
DTC,DTC CH ID,1988-08-29,1989-10-24,Uncertain,IDN,CHE
DTC,DTC CH IR,2002-10-27,2003-12-31,Uncertain,IRN,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IRL,CHE
DTC,DTC CH IE,1966-02-08,1989-01-01,Uncertain,IRL,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IMN,CHE
TIEA,TIEA CH IM,2013-08-28,2014-10-14,On Request,IMN,CHE
DTC,DTC CH IL,2003-07-02,2003-12-22,Uncertain,ISR,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ITA,CHE
DTC,DTC CH IT,1976-03-09,1979-03-27,Uncertain,ITA,CHE
DTC,DTC CH JM,1994-12-06,1995-12-27,Uncertain,JAM,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,JPN,CHE
DTC,DTC CH JP,1971-01-19,1971-12-26,Uncertain,JPN,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,JEY,CHE
TIEA,TIEA CH JE,2013-09-16,2014-10-14,On Request,JEY,CHE
DTC,DTC CH KZ,1999-10-21,2000-11-24,Uncertain,KAZ,CHE
DTC,DTC CH KW,1999-02-16,2000-05-31,Uncertain,KWT,CHE
DTC,DTC CH KG,2001-01-26,2002-06-05,Uncertain,KGZ,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LVA,CHE
DTC,DTC CH LV,2002-01-31,2002-12-18,Uncertain,LVA,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LIE,CHE
DTC,DTC CH LI,1995-06-22,1996-12-17,Uncertain,LIE,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LTU,CHE
DTC,DTC CH LT,2002-05-27,2002-12-18,Uncertain,LTU,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LUX,CHE
DTC,DTC CH LU,1993-01-21,1994-02-09,Uncertain,LUX,CHE
DTC,DTC CH MK,2000-04-14,2000-12-27,Uncertain,MKD,CHE
DTC,DTC CH MW,1961-09-21,1961-09-21,Uncertain,MWI,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MYS,CHE
DTC,DTC CH MY,1974-12-30,1976-01-08,Uncertain,MYS,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MLT,CHE
DTC,DTC CH MT,2011-02-25,2012-07-06,Uncertain,MLT,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MHL,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MUS,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MEX,CHE
DTC,DTC CH MX,1993-08-03,1994-09-08,Uncertain,MEX,CHE
DTC,DTC CH MD,1999-01-13,2000-08-22,Uncertain,MDA,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MCO,CHE
DTC,DTC CH MN,1999-09-20,2002-06-25,Uncertain,MNG,CHE
DTC,DTC CH ME,2005-04-13,2007-07-10,Uncertain,MNE,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MSR,CHE
DTC,DTC CH MS,1954-09-30,1954-09-30,Uncertain,MSR,CHE
DTC,DTC CH MA,1993-03-31,1995-07-27,Uncertain,MAR,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NLD,CHE
DTC,DTC CH NL,2010-02-26,2011-11-09,Uncertain,NLD,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,NZL,CHE
DTC,DTC CH NZ,1980-06-06,1981-11-21,Uncertain,NZL,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NIU,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NOR,CHE
DTC,DTC CH NO,1987-09-07,1989-05-02,Uncertain,NOR,CHE
DTC,DTC CH PK,2005-07-19,2008-11-24,Uncertain,PAK,CHE
DTC,DTC CH PE,2012-09-21,2014-03-10,Uncertain,PER,CHE
DTC,DTC CH PH,1998-06-24,2001-04-30,Uncertain,PHL,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,POL,CHE
DTC,DTC CH PL,1991-09-02,1992-09-25,Uncertain,POL,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,PRT,CHE
DTC,DTC CH PT,1974-09-26,1975-12-17,Uncertain,PRT,CHE
DTC,DTC CH QA,2009-09-24,2010-12-15,Uncertain,QAT,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ROU,CHE
DTC,DTC CH RO,1993-10-25,1994-12-27,Uncertain,ROU,CHE
DTC,DTC CH RU,1995-11-15,1997-04-18,Uncertain,RUS,CHE
DTC,DTC CH KN,1963-08-26,1963-08-26,Uncertain,KNA,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,LCA,CHE
DTC,DTC CH LC,1963-08-26,1963-08-26,Uncertain,LCA,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,VCT,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,WSM,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SMR,CHE
TIEA,TIEA CH SM,2014-05-16,2015-07-20,On Request,SMR,CHE
DTC,DTC CH RS,2005-04-13,2006-05-05,Uncertain,SRB,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SYC,CHE
TIEA,TIEA CH SC,2014-05-26,2015-08-10,On Request,SYC,CHE
DTC,DTC CH SG,2011-02-24,2011-08-01,Uncertain,SGP,CHE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,SXM,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVK,CHE
DTC,DTC CH SK,1997-02-14,1997-12-23,Uncertain,SVK,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVN,CHE
DTC,DTC CH SI,1996-06-12,1997-12-01,Uncertain,SVN,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ZAF,CHE
DTC,DTC CH ZA,2007-05-08,2009-01-27,Uncertain,ZAF,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,KOR,CHE
DTC,DTC CH KR,1980-02-12,1981-04-22,Uncertain,KOR,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ESP,CHE
DTC,DTC CH ES,1966-04-26,1967-02-02,Uncertain,ESP,CHE
DTC,DTC CH LK,1983-01-11,1984-09-14,Uncertain,LKA,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SWE,CHE
DTC,DTC CH SE,1965-05-07,1966-06-06,Uncertain,SWE,CHE
DTC,DTC CH TJ,2010-10-23,2011-10-26,Uncertain,TJK,CHE
DTC,DTC CH TH,1996-02-12,1996-12-19,Uncertain,THA,CHE
DTC,DTC CH TT,1973-02-01,1974-03-20,Uncertain,TTO,CHE
DTC,DTC CH TN,1994-02-10,1995-04-28,Uncertain,TUN,CHE
DTC,DTC CH TR,2010-06-18,2012-02-08,Uncertain,TUR,CHE
DTC,DTC CH TM,2012-10-08,2013-12-11,Uncertain,TKM,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,TCA,CHE
DTC,DTC CH UA,2000-10-30,2002-02-22,Uncertain,UKR,CHE
DTC,DTC AE CH,2011-10-06,2012-10-21,Uncertain,ARE,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GBR,CHE
DTC,DTC CH GB,1977-12-08,1978-10-07,Uncertain,GBR,CHE
FATCA,FATCA US CH,,2014-06-30,Automatic,USA,CHE
DTC,DTC CH US,1996-10-02,1997-12-19,Uncertain,USA,CHE
DTC,DTC CH UY,2010-10-18,2011-12-28,Uncertain,URY,CHE
DTC,DTC CH UZ,2002-04-03,2003-08-15,Uncertain,UZB,CHE
DTC,DTC CH VE,1996-12-20,1997-12-23,Uncertain,VEN,CHE
DTC,DTC CH VN,1996-05-06,1997-10-12,Uncertain,VNM,CHE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,VGB,CHE
DTC,DTC CH VG,1954-09-30,1954-09-30,Uncertain,VGB,CHE
DTC,DTC CH ZM,1961-09-21,1961-09-21,Uncertain,ZMB,CHE
DTC,DTC BE CI,1977-11-25,1980-12-30,Uncertain,BEL,CIV
DTC,DTC BF CI,2008-09-26,2009-01-01,Uncertain,BFA,CIV
DTC,DTC CA CI,1983-06-16,1985-12-19,Uncertain,CAN,CIV
DTC,DTC CI FR,1966-04-06,1967-01-01,Uncertain,FRA,CIV
DTC,DTC CI GA,1971-07-29,1972-01-01,Uncertain,GAB,CIV
DTC,DTC CI DE,1979-07-03,1982-07-08,Uncertain,DEU,CIV
DTC,DTC CI IT,1982-07-30,1987-05-15,Uncertain,ITA,CIV
DTC,DTC CI MA,2006-07-20,,Uncertain,MAR,CIV
DTC,DTC CI NO,1978-02-15,1980-01-25,Uncertain,NOR,CIV
DTC,DTC CI PT,2015-03-17,,Uncertain,PRT,CIV
DTC,DTC CI SN,2008-09-26,2009-01-01,Uncertain,SEN,CIV
DTC,DTC CH CI,1987-11-23,1990-12-30,Uncertain,CHE,CIV
DTC,DTC CI TN,1999-05-14,,Uncertain,TUN,CIV
DTC,DTC CI GB,1985-06-20,1987-01-24,Uncertain,GBR,CIV
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ALB,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AND,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,AIA,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ATG,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ARG,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ABW,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUS,COK
TIEA,TIEA AU CK,2009-10-27,2011-09-02,On Request,AUS,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUT,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BRB,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BEL,COK
TIEA,TIEA BE CK,2015-09-09,,On Request,BEL,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,BLZ,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BMU,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BGR,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CAN,COK
TIEA,TIEA CA CK,2015-06-15,,On Request,CAN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYM,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHL,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,COL,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CRI,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HRV,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CUW,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYP,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CZE,COK
TIEA,TIEA CK CZ,2015-02-04,,On Request,CZE,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DNK,COK
TIEA,TIEA CK DK,2009-12-16,2011-10-02,On Request,DNK,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,EST,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRO,COK
TIEA,TIEA CK FO,2009-12-16,,On Request,FRO,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FIN,COK
TIEA,TIEA CK FI,2009-12-16,2011-10-02,On Request,FIN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRA,COK
TIEA,TIEA CK FR,2010-09-15,2011-10-16,On Request,FRA,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DEU,COK
TIEA,TIEA CK DE,2012-04-03,2013-12-11,On Request,DEU,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GHA,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GIB,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRC,COK
TIEA,TIEA CK GR,2013-02-12,,On Request,GRC,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRL,COK
TIEA,TIEA CK GL,2009-12-16,2013-01-10,On Request,GRL,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GRD,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GGY,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HUN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ISL,COK
TIEA,TIEA CK IS,2009-12-16,2012-06-25,On Request,ISL,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IND,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,IDN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IRL,COK
TIEA,TIEA CK IE,2009-12-08,2011-09-02,On Request,IRL,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IMN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ITA,COK
TIEA,TIEA CK IT,2011-05-17,2015-02-17,On Request,ITA,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,JPN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,JEY,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LVA,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LIE,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LTU,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LUX,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MYS,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MLT,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MHL,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MUS,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MEX,COK
TIEA,TIEA CK MX,2010-11-22,2012-03-02,On Request,MEX,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MCO,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MSR,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NLD,COK
TIEA,TIEA CK NL,2009-10-23,2011-09-07,On Request,NLD,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,NZL,COK
TIEA,TIEA CK NZ,2009-07-09,2011-12-13,On Request,NZL,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NIU,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NOR,COK
TIEA,TIEA CK NO,2009-12-16,2011-10-06,On Request,NOR,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,POL,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,PRT,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ROU,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,LCA,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,VCT,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,WSM,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SMR,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SYC,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,SXM,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVK,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVN,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ZAF,COK
TIEA,TIEA CK ZA,2013-10-25,2015-01-08,On Request,ZAF,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,KOR,COK
TIEA,TIEA CK KR,2011-05-31,2012-03-05,On Request,KOR,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ESP,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SWE,COK
TIEA,TIEA CK SE,2009-12-16,2011-10-06,On Request,SWE,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHE,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,TCA,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GBR,COK
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,VGB,COK
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ALB,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AND,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,AIA,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ATG,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ARG,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ABW,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUS,CHL
DTC,DTC AU CL,2010-03-10,2013-02-08,Uncertain,AUS,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUT,CHL
DTC,DTC AT CL,2012-12-06,2015-09-09,Uncertain,AUT,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BRB,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BEL,CHL
DTC,DTC BE CL,2007-12-06,2010-05-05,Uncertain,BEL,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,BLZ,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BMU,CHL
DTC,DTC BR CL,2001-04-03,2003-07-24,Uncertain,BRA,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BGR,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CAN,CHL
DTC,DTC CA CL,1998-01-21,1999-10-28,Uncertain,CAN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYM,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,COL,CHL
DTC,DTC CL CO,2007-04-19,2009-12-22,Uncertain,COL,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,COK,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CRI,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HRV,CHL
DTC,DTC CL HR,2003-06-24,2004-12-21,Uncertain,HRV,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CUW,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYP,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CZE,CHL
DTC,DTC CL CZ,2015-12-02,,Uncertain,CZE,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DNK,CHL
DTC,DTC CL DK,2002-09-20,2004-12-21,Uncertain,DNK,CHL
DTC,DTC CL EC,1999-08-26,2003-10-24,Uncertain,ECU,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,EST,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRO,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FIN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRA,CHL
DTC,DTC CL FR,2004-06-07,2006-07-10,Uncertain,FRA,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DEU,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GHA,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GIB,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRC,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRL,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GRD,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GGY,CHL
TIEA,TIEA CL GG,2012-09-24,,On Request,GGY,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HUN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ISL,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IND,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,IDN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IRL,CHL
DTC,DTC CL IE,2005-06-02,2008-08-28,Uncertain,IRL,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IMN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ITA,CHL
DTC,DTC CL IT,2015-10-23,,Uncertain,ITA,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,JPN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,JEY,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LVA,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LIE,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LTU,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LUX,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MYS,CHL
DTC,DTC CL MY,2004-09-03,2008-08-25,Uncertain,MYS,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MLT,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MHL,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MUS,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MEX,CHL
DTC,DTC CL MX,1998-04-17,1999-11-12,Uncertain,MEX,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MCO,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MSR,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NLD,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,NZL,CHL
DTC,DTC CL NZ,2003-12-10,2006-06-21,Uncertain,NZL,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NIU,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NOR,CHL
DTC,DTC CL NO,2001-10-26,2003-07-22,Uncertain,NOR,CHL
DTC,DTC CL PY,2005-08-30,2008-08-26,Uncertain,PRY,CHL
DTC,DTC CL PE,2001-06-08,2003-07-23,Uncertain,PER,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,POL,CHL
DTC,DTC CL PL,2000-03-10,2004-01-01,Uncertain,POL,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,PRT,CHL
DTC,DTC CL PT,2005-07-07,2008-08-25,Uncertain,PRT,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ROU,CHL
DTC,DTC CL RU,2004-11-19,2012-02-28,Uncertain,RUS,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,LCA,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,VCT,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,WSM,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SMR,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SYC,CHL
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,SXM,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVK,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVN,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ZAF,CHL
DTC,DTC CL ZA,2012-07-11,,Uncertain,ZAF,CHL
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,KOR,CHL
